city,capital,country,,,,,,,,
Tegucigalpa,true,Honduras,"('Tegucigalpa',true,'Honduras'),",,,,,,,"('Tegucigalpa',true,'Honduras'),"
Ulaanbaatar,true,Mongolia,"('Ulaanbaatar',true,'Mongolia'),",,,,,,,"('Ulaanbaatar',true,'Mongolia'),"
Bridgetown,true,Barbados,"('Bridgetown',true,'Barbados'),",,,,,,,"('Bridgetown',true,'Barbados'),"
Phnom Penh,true,Cambodia,"('Phnom Penh',true,'Cambodia'),",,,,,,,"('Phnom Penh',true,'Cambodia'),"
Bratislava,true,Slovakia,"('Bratislava',true,'Slovakia'),",,,,,,,"('Bratislava',true,'Slovakia'),"
Paramaribo,true,Suriname,"('Paramaribo',true,'Suriname'),",,,,,,,"('Paramaribo',true,'Suriname'),"
Islamabad,true,Pakistan,"('Islamabad',true,'Pakistan'),",,,,,,,"('Islamabad',true,'Pakistan'),"
Ljubljana,true,Slovenia,"('Ljubljana',true,'Slovenia'),",,,,,,,"('Ljubljana',true,'Slovenia'),"
Gaborone,true,Botswana,"('Gaborone',true,'Botswana'),",,,,,,,"('Gaborone',true,'Botswana'),"
Asunción,true,Paraguay,"('Asunción',true,'Paraguay'),",,,,,,,"('Asunción',true,'Paraguay'),"
Yaounde,true,Cameroon,"('Yaounde',true,'Cameroon'),",,,,,,,"('Yaounde',true,'Cameroon'),"
Bangkok,true,Thailand,"('Bangkok',true,'Thailand'),",,,,,,,"('Bangkok',true,'Thailand'),"
Bogotá,true,Colombia,"('Bogotá',true,'Colombia'),",,,,,,,"('Bogotá',true,'Colombia'),"
Roseau,true,Dominica,"('Roseau',true,'Dominica'),",,,,,,,"('Roseau',true,'Dominica'),"
Tarawa,true,Kiribati,"('Tarawa',true,'Kiribati'),",,,,,,,"('Tarawa',true,'Kiribati'),"
Lisbon,true,Portugal,"('Lisbon',true,'Portugal'),",,,,,,,"('Lisbon',true,'Portugal'),"
Dodoma,true,Tanzania,"('Dodoma',true,'Tanzania'),",,,,,,,"('Dodoma',true,'Tanzania'),"
Harare,true,Zimbabwe,"('Harare',true,'Zimbabwe'),",,,,,,,"('Harare',true,'Zimbabwe'),"
Sofia,true,Bulgaria,"('Sofia',true,'Bulgaria'),",,,,,,,"('Sofia',true,'Bulgaria'),"
Male,true,Maldives,"('Male',true,'Maldives'),",,,,,,,"('Male',true,'Maldives'),"
La Paz (seat of government),true,Bolivia,"('La Paz (seat of government)',true,'Bolivia'),",,,,,,,"('La Paz (seat of government)',true,'Bolivia'),"
Kyiv (also known as Kiev),true,Ukraine,"('Kyiv (also known as Kiev)',true,'Ukraine'),",,,,,,,"('Kyiv (also known as Kiev)',true,'Ukraine'),"
Andorra la Vella,true,Andorra,"('Andorra la Vella',true,'Andorra'),",,,,,,,"('Andorra la Vella',true,'Andorra'),"
"Sucre (de jure),",true,Bolivia,"('Sucre (de jure),',true,'Bolivia'),",,,,,,,"('Sucre (de jure),',true,'Bolivia'),"
Saint George's,true,Grenada,"('Saint George's',true,'Grenada'),",,,,,,,"('Saint George's',true,'Grenada'),"
Capital city,true,Country,"('Capital city',true,'Country'),",,,,,,,"('Capital city',true,'Country'),"
Copenhagen,true,Denmark,"('Copenhagen',true,'Denmark'),",,,,,,,"('Copenhagen',true,'Denmark'),"
Montevideo,true,Uruguay,"('Montevideo',true,'Uruguay'),",,,,,,,"('Montevideo',true,'Uruguay'),"
Reykjavik,true,Iceland,"('Reykjavik',true,'Iceland'),",,,,,,,"('Reykjavik',true,'Iceland'),"
Naypyidaw,true,Myanmar,"('Naypyidaw',true,'Myanmar'),",,,,,,,"('Naypyidaw',true,'Myanmar'),"
Bucharest,true,Romania,"('Bucharest',true,'Romania'),",,,,,,,"('Bucharest',true,'Romania'),"
Mogadishu,true,Somalia,"('Mogadishu',true,'Somalia'),",,,,,,,"('Mogadishu',true,'Somalia'),"
Port Vila,true,Vanuatu,"('Port Vila',true,'Vanuatu'),",,,,,,,"('Port Vila',true,'Vanuatu'),"
Brussels,true,Belgium,"('Brussels',true,'Belgium'),",,,,,,,"('Brussels',true,'Belgium'),"
Helsinki,true,Finland,"('Helsinki',true,'Finland'),",,,,,,,"('Helsinki',true,'Finland'),"
Budapest,true,Hungary,"('Budapest',true,'Hungary'),",,,,,,,"('Budapest',true,'Hungary'),"
Kingston,true,Jamaica,"('Kingston',true,'Jamaica'),",,,,,,,"('Kingston',true,'Jamaica'),"
Monrovia,true,Liberia,"('Monrovia',true,'Liberia'),",,,,,,,"('Monrovia',true,'Liberia'),"
Chisinau,true,Moldova,"('Chisinau',true,'Moldova'),",,,,,,,"('Chisinau',true,'Moldova'),"
Windhoek,true,Namibia,"('Windhoek',true,'Namibia'),",,,,,,,"('Windhoek',true,'Namibia'),"
Algiers,true,Algeria,"('Algiers',true,'Algeria'),",,,,,,,"('Algiers',true,'Algeria'),"
Yerevan,true,Armenia,"('Yerevan',true,'Armenia'),",,,,,,,"('Yerevan',true,'Armenia'),"
Tallinn,true,Estonia,"('Tallinn',true,'Estonia'),",,,,,,,"('Tallinn',true,'Estonia'),"
Tbilisi,true,Georgia,"('Tbilisi',true,'Georgia'),",,,,,,,"('Tbilisi',true,'Georgia'),"
Tirana,true,Albania,"('Tirana',true,'Albania'),",,,,,,,"('Tirana',true,'Albania'),"
Vienna,true,Austria,"('Vienna',true,'Austria'),",,,,,,,"('Vienna',true,'Austria'),"
Nassau,true,Bahamas,"('Nassau',true,'Bahamas'),",,,,,,,"('Nassau',true,'Bahamas'),"
Manama,true,Bahrain,"('Manama',true,'Bahrain'),",,,,,,,"('Manama',true,'Bahrain'),"
Gitega,true,Burundi,"('Gitega',true,'Burundi'),",,,,,,,"('Gitega',true,'Burundi'),"
Moroni,true,Comoros,"('Moroni',true,'Comoros'),",,,,,,,"('Moroni',true,'Comoros'),"
Zagreb,true,Croatia,"('Zagreb',true,'Croatia'),",,,,,,,"('Zagreb',true,'Croatia'),"
Prague,true,Czechia,"('Prague',true,'Czechia'),",,,,,,,"('Prague',true,'Czechia'),"
Asmara,true,Eritrea,"('Asmara',true,'Eritrea'),",,,,,,,"('Asmara',true,'Eritrea'),"
Berlin,true,Germany,"('Berlin',true,'Germany'),",,,,,,,"('Berlin',true,'Germany'),"
Dublin,true,Ireland,"('Dublin',true,'Ireland'),",,,,,,,"('Dublin',true,'Ireland'),"
Beirut,true,Lebanon,"('Beirut',true,'Lebanon'),",,,,,,,"('Beirut',true,'Lebanon'),"
Maseru,true,Lesotho,"('Maseru',true,'Lesotho'),",,,,,,,"('Maseru',true,'Lesotho'),"
Minsk,true,Belarus,"('Minsk',true,'Belarus'),",,,,,,,"('Minsk',true,'Belarus'),"
Quito,true,Ecuador,"('Quito',true,'Ecuador'),",,,,,,,"('Quito',true,'Ecuador'),"
Rabat,true,Morocco,"('Rabat',true,'Morocco'),",,,,,,,"('Rabat',true,'Morocco'),"
Abuja,true,Nigeria,"('Abuja',true,'Nigeria'),",,,,,,,"('Abuja',true,'Nigeria'),"
Dakar,true,Senegal,"('Dakar',true,'Senegal'),",,,,,,,"('Dakar',true,'Senegal'),"
Tunis,true,Tunisia,"('Tunis',true,'Tunisia'),",,,,,,,"('Tunis',true,'Tunisia'),"
Hanoi,true,Vietnam,"('Hanoi',true,'Vietnam'),",,,,,,,"('Hanoi',true,'Vietnam'),"
Bandar Seri Begawan,true,Brunei,"('Bandar Seri Begawan',true,'Brunei'),",,,,,,,"('Bandar Seri Begawan',true,'Brunei'),"
Kuwait City,true,Kuwait,"('Kuwait City',true,'Kuwait'),",,,,,,,"('Kuwait City',true,'Kuwait'),"
Mexico City,true,Mexico,"('Mexico City',true,'Mexico'),",,,,,,,"('Mexico City',true,'Mexico'),"
Panama City,true,Panama,"('Panama City',true,'Panama'),",,,,,,,"('Panama City',true,'Panama'),"
Georgetown,true,Guyana,"('Georgetown',true,'Guyana'),",,,,,,,"('Georgetown',true,'Guyana'),"
Jerusalem,true,Israel,"('Jerusalem',true,'Israel'),",,,,,,,"('Jerusalem',true,'Israel'),"
Stockholm,true,Sweden,"('Stockholm',true,'Sweden'),",,,,,,,"('Stockholm',true,'Sweden'),"
Belmopan,true,Belize,"('Belmopan',true,'Belize'),",,,,,,,"('Belmopan',true,'Belize'),"
Brasilia,true,Brazil,"('Brasilia',true,'Brazil'),",,,,,,,"('Brasilia',true,'Brazil'),"
Pristina,true,Kosovo,"('Pristina',true,'Kosovo'),",,,,,,,"('Pristina',true,'Kosovo'),"
Lilongwe,true,Malawi,"('Lilongwe',true,'Malawi'),",,,,,,,"('Lilongwe',true,'Malawi'),"
Belgrade,true,Serbia,"('Belgrade',true,'Serbia'),",,,,,,,"('Belgrade',true,'Serbia'),"
Funafuti,true,Tuvalu,"('Funafuti',true,'Tuvalu'),",,,,,,,"('Funafuti',true,'Tuvalu'),"
Thimphu,true,Bhutan,"('Thimphu',true,'Bhutan'),",,,,,,,"('Thimphu',true,'Bhutan'),"
Nicosia,true,Cyprus,"('Nicosia',true,'Cyprus'),",,,,,,,"('Nicosia',true,'Cyprus'),"
Conakry,true,Guinea,"('Conakry',true,'Guinea'),",,,,,,,"('Conakry',true,'Guinea'),"
Kampala,true,Uganda,"('Kampala',true,'Uganda'),",,,,,,,"('Kampala',true,'Uganda'),"
Luanda,true,Angola,"('Luanda',true,'Angola'),",,,,,,,"('Luanda',true,'Angola'),"
Ottawa,true,Canada,"('Ottawa',true,'Canada'),",,,,,,,"('Ottawa',true,'Canada'),"
Banjul,true,Gambia,"('Banjul',true,'Gambia'),",,,,,,,"('Banjul',true,'Gambia'),"
Athens,true,Greece,"('Athens',true,'Greece'),",,,,,,,"('Athens',true,'Greece'),"
Monaco,true,Monaco,"('Monaco',true,'Monaco'),",,,,,,,"('Monaco',true,'Monaco'),"
Warsaw,true,Poland,"('Warsaw',true,'Poland'),",,,,,,,"('Warsaw',true,'Poland'),"
Moscow,true,Russia,"('Moscow',true,'Russia'),",,,,,,,"('Moscow',true,'Russia'),"
Kigali,true,Rwanda,"('Kigali',true,'Rwanda'),",,,,,,,"('Kigali',true,'Rwanda'),"
Taipei,true,Taiwan,"('Taipei',true,'Taiwan'),",,,,,,,"('Taipei',true,'Taiwan'),"
Ankara,true,Turkey,"('Ankara',true,'Turkey'),",,,,,,,"('Ankara',true,'Turkey'),"
Lusaka,true,Zambia,"('Lusaka',true,'Zambia'),",,,,,,,"('Lusaka',true,'Zambia'),"
Paris,true,France,"('Paris',true,'France'),",,,,,,,"('Paris',true,'France'),"
Amman,true,Jordan,"('Amman',true,'Jordan'),",,,,,,,"('Amman',true,'Jordan'),"
Riga,true,Latvia,"('Riga',true,'Latvia'),",,,,,,,"('Riga',true,'Latvia'),"
Oslo,true,Norway,"('Oslo',true,'Norway'),",,,,,,,"('Oslo',true,'Norway'),"
Yaren District (de facto),true,Nauru,"('Yaren District (de facto)',true,'Nauru'),",,,,,,,"('Yaren District (de facto)',true,'Nauru'),"
Port-au-Prince,true,Haiti,"('Port-au-Prince',true,'Haiti'),",,,,,,,"('Port-au-Prince',true,'Haiti'),"
Porto-Novo,true,Benin,"('Porto-Novo',true,'Benin'),",,,,,,,"('Porto-Novo',true,'Benin'),"
Libreville,true,Gabon,"('Libreville',true,'Gabon'),",,,,,,,"('Libreville',true,'Gabon'),"
